SHITOMASI, 125, 118, 123, 120, 120, 113, 114, 123, 111, 112
HARRIS, 17, 14, 18, 21, 26, 43, 18, 31, 26, 34
FAST, 419, 427, 404, 423, 386, 414, 418, 406, 396, 401
BRISK, 264, 282, 282, 277, 297, 279, 289, 272, 266, 254
