SHITOMASI_BRISK
SHITOMASI_BRIEF
SHITOMASI_ORB
SHITOMASI_FREAK
SHITOMASI_SIFT
HARRIS_BRISK
HARRIS_BRIEF
HARRIS_ORB
HARRIS_FREAK
HARRIS_SIFT
FAST_BRISK
FAST_BRIEF
FAST_ORB
FAST_FREAK
FAST_SIFT
BRISK_BRISK
BRISK_BRIEF
BRISK_ORB
BRISK_FREAK
